"Title","Year","Released","Rated","Runtime","Genre","Director","Language","Country","imdbRating","imdbVotes","imdbID","BoxOffice"
"Dracula Untold","2014",2014-10-10,"PG-13","92 min","Action, Drama, Fantasy","Gary Shore","English, Turkish","United States, Japan",6.2,204185,"tt0829150","$56,280,355"
"Dracula Untold","2014",2014-10-10,"PG-13","92 min","Action, Drama, Fantasy","Gary Shore","English, Turkish","United States, Japan",6.2,204185,"tt0829150","$56,280,355"
"Earth to Echo","2014",2014-07-02,"PG","91 min","Adventure, Family, Sci-Fi","Dave Green","English","United States",5.7,19572,"tt2183034","$38,934,842"
"Earth to Echo","2014",2014-07-02,"PG","91 min","Adventure, Family, Sci-Fi","Dave Green","English","United States",5.7,19572,"tt2183034","$38,934,842"
"Earth to Echo","2014",2014-07-02,"PG","91 min","Adventure, Family, Sci-Fi","Dave Green","English","United States",5.7,19572,"tt2183034","$38,934,842"
"About Last Night","2014",2014-02-14,"R","100 min","Comedy, Romance","Steve Pink","English","United States",6,24783,"tt1826590","$48,637,684"
"About Last Night","2014",2014-02-14,"R","100 min","Comedy, Romance","Steve Pink","English","United States",6,24783,"tt1826590","$48,637,684"
"About Last Night","2014",2014-02-14,"R","100 min","Comedy, Romance","Steve Pink","English","United States",6,24783,"tt1826590","$48,637,684"
"What We Did on Our Holiday","2014",2015-07-10,"PG-13","95 min","Comedy, Drama","Andy Hamilton, Guy Jenkin","English, Chinese, French","United Kingdom",6.9,23690,"tt2725962","N/A"
"What We Did on Our Holiday","2014",2015-07-10,"PG-13","95 min","Comedy, Drama","Andy Hamilton, Guy Jenkin","English, Chinese, French","United Kingdom",6.9,23690,"tt2725962","N/A"
"What We Did on Our Holiday","2014",2015-07-10,"PG-13","95 min","Comedy, Drama","Andy Hamilton, Guy Jenkin","English, Chinese, French","United Kingdom",6.9,23690,"tt2725962","N/A"
"Deliver Us from Evil","2014",2014-07-02,"R","118 min","Action, Adventure, Crime","Scott Derrickson","English, Spanish, Latin, Italian","United States",6.2,82497,"tt2377322","$30,577,122"
"Deliver Us from Evil","2014",2014-07-02,"R","118 min","Action, Adventure, Crime","Scott Derrickson","English, Spanish, Latin, Italian","United States",6.2,82497,"tt2377322","$30,577,122"
"Deliver Us from Evil","2014",2014-07-02,"R","118 min","Action, Adventure, Crime","Scott Derrickson","English, Spanish, Latin, Italian","United States",6.2,82497,"tt2377322","$30,577,122"
"Land of Storms","2014",2014-03-20,"Unrated","105 min","Drama, Romance, Sport","Ádám Császi","Hungarian, German, English","Hungary, Germany",6.9,4527,"tt2474310","N/A"
"The Circle","2014",2014-10-23,"Not Rated","102 min","Biography, Drama, Romance","Stefan Haupt","Swiss German, German, French","Switzerland",7.3,1668,"tt3148952","N/A"
"The Circle","2014",2014-10-23,"Not Rated","102 min","Biography, Drama, Romance","Stefan Haupt","Swiss German, German, French","Switzerland",7.3,1668,"tt3148952","N/A"
"The Circle","2014",2014-10-23,"Not Rated","102 min","Biography, Drama, Romance","Stefan Haupt","Swiss German, German, French","Switzerland",7.3,1668,"tt3148952","N/A"
"Out in the Night","2014",2014-06-12,"Unrated","75 min","Documentary, Biography, Crime","Blair Doroshwalther","English","United States",7.4,107,"tt3717242","N/A"
"Out in the Night","2014",2014-06-12,"Unrated","75 min","Documentary, Biography, Crime","Blair Doroshwalther","English","United States",7.4,107,"tt3717242","N/A"
"Sand Dollars","2014",2015-11-06,"Not Rated","84 min","Drama","Israel Cárdenas, Laura Amelia Guzmán","Spanish, English, French","Dominican Republic, Mexico, Argentina",5.9,543,"tt3958098","N/A"
"Sand Dollars","2014",2015-11-06,"Not Rated","84 min","Drama","Israel Cárdenas, Laura Amelia Guzmán","Spanish, English, French","Dominican Republic, Mexico, Argentina",5.9,543,"tt3958098","N/A"
"Sand Dollars","2014",2015-11-06,"Not Rated","84 min","Drama","Israel Cárdenas, Laura Amelia Guzmán","Spanish, English, French","Dominican Republic, Mexico, Argentina",5.9,543,"tt3958098","N/A"
"Date and Switch","2014",2014-02-14,"R","91 min","Comedy, Drama, Romance","Chris Nelson","English, Spanish","United States",5.7,8364,"tt1878942","N/A"
"Date and Switch","2014",2014-02-14,"R","91 min","Comedy, Drama, Romance","Chris Nelson","English, Spanish","United States",5.7,8364,"tt1878942","N/A"
"Date and Switch","2014",2014-02-14,"R","91 min","Comedy, Drama, Romance","Chris Nelson","English, Spanish","United States",5.7,8364,"tt1878942","N/A"
"Extirpator of Idolatries","2014",2016-04-14,"N/A","86 min","Drama, Fantasy, Mystery","Manuel Siles","Spanish, Quechua","Peru",6.7,28,"tt3010990","N/A"
"Highway","2014",2014-02-21,"Not Rated","133 min","Crime, Drama, Romance","Imtiaz Ali","Hindi","India",7.6,29999,"tt2980794","$529,136"
"Highway","2014",2014-02-21,"Not Rated","133 min","Crime, Drama, Romance","Imtiaz Ali","Hindi","India",7.6,29999,"tt2980794","$529,136"
"Highway","2014",2014-02-21,"Not Rated","133 min","Crime, Drama, Romance","Imtiaz Ali","Hindi","India",7.6,29999,"tt2980794","$529,136"
"Happy Valley","2014–2023",2014-04-29,"TV-MA","58 min","Crime, Drama, Thriller","N/A","English","United Kingdom",8.5,60353,"tt3428912",NA
"Sex Ed","2014",2014-11-07,"Not Rated","92 min","Comedy, Romance","Isaac Feder","English","United States",5.6,5611,"tt2751310","N/A"
"Sex Ed","2014",2014-11-07,"Not Rated","92 min","Comedy, Romance","Isaac Feder","English","United States",5.6,5611,"tt2751310","N/A"
"Sex Ed","2014",2014-11-07,"Not Rated","92 min","Comedy, Romance","Isaac Feder","English","United States",5.6,5611,"tt2751310","N/A"
"Alex of Venice","2014",2015-04-17,"R","86 min","Drama","Chris Messina","English","United States",5.8,3347,"tt2977090","N/A"
"Alex of Venice","2014",2015-04-17,"R","86 min","Drama","Chris Messina","English","United States",5.8,3347,"tt2977090","N/A"
"Alex of Venice","2014",2015-04-17,"R","86 min","Drama","Chris Messina","English","United States",5.8,3347,"tt2977090","N/A"
"Taken 3","2014",2015-01-09,"PG-13","108 min","Action, Crime, Thriller","Olivier Megaton","English, Russian","France, Spain, United States",6,200558,"tt2446042","$89,256,424"
"Taken 3","2014",2015-01-09,"PG-13","108 min","Action, Crime, Thriller","Olivier Megaton","English, Russian","France, Spain, United States",6,200558,"tt2446042","$89,256,424"
"Taken 3","2014",2015-01-09,"PG-13","108 min","Action, Crime, Thriller","Olivier Megaton","English, Russian","France, Spain, United States",6,200558,"tt2446042","$89,256,424"
"The Tempest","2014",2014-05-28,"N/A","169 min","Comedy, Drama","Jeremy Herrin, Ian Russell","English","United Kingdom",8.2,311,"tt3840898","N/A"
"Gekijôban Hakuôki: Dainishô shikon sôkyû","2014",2014-03-08,"N/A","87 min","Animation","Osamu Yamasaki","Japanese","Japan",7.3,120,"tt5825186","N/A"
"PK","2014",2014-12-19,"Not Rated","153 min","Comedy, Drama, Sci-Fi","Rajkumar Hirani","Hindi","India",8.1,196114,"tt2338151","$10,616,104"
"PK","2014",2014-12-19,"Not Rated","153 min","Comedy, Drama, Sci-Fi","Rajkumar Hirani","Hindi","India",8.1,196114,"tt2338151","$10,616,104"
"Awesome Asian Bad Guys","2014",2015-06-23,"Not Rated","52 min","Action, Comedy","Stephen Dypiangco, Patrick Epino","English","United States",6.9,106,"tt3153524","N/A"
"Mass Extinction: Life at the Brink","2014",2014-11-30,"TV-PG","46 min","Documentary","Sarah Holt","English","United States",7.5,59,"tt4264406","N/A"
"Moomins on the Riviera","2014",2015-12-04,"G","80 min","Animation, Comedy, Family","Xavier Picard, Hanna Hemilä","Finnish","Finland, France",6,1438,"tt2371399","N/A"
"Moomins on the Riviera","2014",2015-12-04,"G","80 min","Animation, Comedy, Family","Xavier Picard, Hanna Hemilä","Finnish","Finland, France",6,1438,"tt2371399","N/A"
"Moomins on the Riviera","2014",2015-12-04,"G","80 min","Animation, Comedy, Family","Xavier Picard, Hanna Hemilä","Finnish","Finland, France",6,1438,"tt2371399","N/A"
"The Red Tent","2014",2014-12-07,"N/A","87 min","Drama, History, Romance","N/A","English","United States",7.2,3715,"tt3068894",NA
"Big Stone Gap","2014",2016-05-20,"PG-13","103 min","Comedy, Romance","Adriana Trigiani","English","United States",5.7,3262,"tt3254796","$1,009,301"
"Big Stone Gap","2014",2016-05-20,"PG-13","103 min","Comedy, Romance","Adriana Trigiani","English","United States",5.7,3262,"tt3254796","$1,009,301"
"Big Stone Gap","2014",2016-05-20,"PG-13","103 min","Comedy, Romance","Adriana Trigiani","English","United States",5.7,3262,"tt3254796","$1,009,301"
"Cloud 9","2014",2014-01-17,"TV-G","85 min","Drama, Family, Sport","Paul Hoen","English","United States",6.4,5400,"tt2762970","N/A"
"The Nut Job","2014",2014-01-17,"PG","85 min","Animation, Adventure, Comedy","Peter Lepeniotis","Dutch, English","Canada, South Korea, United States",5.7,29711,"tt1821658","$64,251,541"
"The Nut Job","2014",2014-01-17,"PG","85 min","Animation, Adventure, Comedy","Peter Lepeniotis","Dutch, English","Canada, South Korea, United States",5.7,29711,"tt1821658","$64,251,541"
"The Nut Job","2014",2014-01-17,"PG","85 min","Animation, Adventure, Comedy","Peter Lepeniotis","Dutch, English","Canada, South Korea, United States",5.7,29711,"tt1821658","$64,251,541"
"12 Dog Days Till Christmas","2014",2014-11-28,"Unrated","90 min","Comedy, Drama, Family","Charlie Vaughn","English","United States",4.7,526,"tt3579698","N/A"
"JLA Adventures: Trapped in Time","2014",2014-01-21,"TV-Y7","52 min","Animation, Action, Sci-Fi","Giancarlo Volpe","English","USA",5.8,3735,"tt3468260","N/A"
"Robot Overlords","2014",2015-07-03,"PG-13","90 min","Action, Adventure, Sci-Fi","Jon Wright","English","United Kingdom, Canada",4.6,7586,"tt2145829","N/A"
"Robot Overlords","2014",2015-07-03,"PG-13","90 min","Action, Adventure, Sci-Fi","Jon Wright","English","United Kingdom, Canada",4.6,7586,"tt2145829","N/A"
"Robot Overlords","2014",2015-07-03,"PG-13","90 min","Action, Adventure, Sci-Fi","Jon Wright","English","United Kingdom, Canada",4.6,7586,"tt2145829","N/A"
"Dark Dungeons","2014",2014-08-14,"N/A","40 min","Short, Drama, Fantasy, Horror","L. Gabriel Gonda","English","USA",4.2,356,"tt3625970","N/A"
"Christmas Under Wraps","2014",2014-11-29,"TV-G","88 min","Comedy, Drama, Romance","Peter Sullivan","English","United States",6.2,5970,"tt4180032","N/A"
"The Flash","2014–2023",2014-10-07,"TV-PG","43 min","Action, Adventure, Drama","N/A","English","United States",7.5,363543,"tt3107288",NA
"Tusk","2014",2014-09-19,"R","102 min","Comedy, Horror","Kevin Smith","English","Canada, United States",5.3,60660,"tt3099498","$1,826,705"
"Tusk","2014",2014-09-19,"R","102 min","Comedy, Horror","Kevin Smith","English","Canada, United States",5.3,60660,"tt3099498","$1,826,705"
"Tusk","2014",2014-09-19,"R","102 min","Comedy, Horror","Kevin Smith","English","Canada, United States",5.3,60660,"tt3099498","$1,826,705"
"The Boss, Anatomy of a Crime","2014",2015-02-26,"N/A","90 min","Crime, Drama","Sebastián Schindel","Spanish","Argentina, Venezuela",7.3,2433,"tt3854234","N/A"
"Meet the Mormons","2014",2015-02-26,"PG","78 min","Documentary","Blair Treu","English","United States",6.4,2039,"tt4003774","$6,047,363"
"Meet the Mormons","2014",2015-02-26,"PG","78 min","Documentary","Blair Treu","English","United States",6.4,2039,"tt4003774","$6,047,363"
"Meet the Mormons","2014",2015-02-26,"PG","78 min","Documentary","Blair Treu","English","United States",6.4,2039,"tt4003774","$6,047,363"
"Home","2015",2015-03-27,"PG","94 min","Animation, Adventure, Comedy","Tim Johnson","English, French","United States, India",6.5,108931,"tt2224026","$177,397,510"
"Home","2015",2015-03-27,"PG","94 min","Animation, Adventure, Comedy","Tim Johnson","English, French","United States, India",6.5,108931,"tt2224026","$177,397,510"
"Home","2015",2015-03-27,"PG","94 min","Animation, Adventure, Comedy","Tim Johnson","English, French","United States, India",6.5,108931,"tt2224026","$177,397,510"
"Frau Müller muss weg!","2015",2015-01-15,"N/A","83 min","Comedy","Sönke Wortmann","German","Germany",6.2,1934,"tt4216934","N/A"
"The Wedding Ringer","2015",2015-01-16,"R","101 min","Comedy, Romance","Jeremy Garelick","English, Spanish, Ukrainian","United States",6.6,79047,"tt0884732","$64,460,211"
"The Wedding Ringer","2015",2015-01-16,"R","101 min","Comedy, Romance","Jeremy Garelick","English, Spanish, Ukrainian","United States",6.6,79047,"tt0884732","$64,460,211"
"The Wedding Ringer","2015",2015-01-16,"R","101 min","Comedy, Romance","Jeremy Garelick","English, Spanish, Ukrainian","United States",6.6,79047,"tt0884732","$64,460,211"
"Ex Machina","2014",2015-04-24,"R","108 min","Drama, Sci-Fi, Thriller","Alex Garland","English","United Kingdom",7.7,570355,"tt0470752","$25,442,958"
"Ex Machina","2014",2015-04-24,"R","108 min","Drama, Sci-Fi, Thriller","Alex Garland","English","United Kingdom",7.7,570355,"tt0470752","$25,442,958"
"Ex Machina","2014",2015-04-24,"R","108 min","Drama, Sci-Fi, Thriller","Alex Garland","English","United Kingdom",7.7,570355,"tt0470752","$25,442,958"
"Strange Magic","2015",2015-01-23,"PG","99 min","Animation, Adventure, Comedy","Gary Rydstrom","English","Singapore, United States",5.7,11930,"tt4191054","$12,429,583"
"Strange Magic","2015",2015-01-23,"PG","99 min","Animation, Adventure, Comedy","Gary Rydstrom","English","Singapore, United States",5.7,11930,"tt4191054","$12,429,583"
"Strange Magic","2015",2015-01-23,"PG","99 min","Animation, Adventure, Comedy","Gary Rydstrom","English","Singapore, United States",5.7,11930,"tt4191054","$12,429,583"
"The Summer of Sangaile","2015",2015-07-29,"Not Rated","90 min","Drama, Romance","Alante Kavaite","Lithuanian","Lithuania, France, Netherlands",6.4,3332,"tt2994832","$4,480"
"The Summer of Sangaile","2015",2015-07-29,"Not Rated","90 min","Drama, Romance","Alante Kavaite","Lithuanian","Lithuania, France, Netherlands",6.4,3332,"tt2994832","$4,480"
"The Summer of Sangaile","2015",2015-07-29,"Not Rated","90 min","Drama, Romance","Alante Kavaite","Lithuanian","Lithuania, France, Netherlands",6.4,3332,"tt2994832","$4,480"
"Mortdecai","2015",2015-01-23,"R","107 min","Action, Adventure, Comedy","David Koepp","English","United States, United Kingdom",5.5,75737,"tt3045616","$7,696,134"
"Mortdecai","2015",2015-01-23,"R","107 min","Action, Adventure, Comedy","David Koepp","English","United States, United Kingdom",5.5,75737,"tt3045616","$7,696,134"
"Mortdecai","2015",2015-01-23,"R","107 min","Action, Adventure, Comedy","David Koepp","English","United States, United Kingdom",5.5,75737,"tt3045616","$7,696,134"
"Jupiter Ascending","2015",2015-02-06,"PG-13","127 min","Action, Adventure, Sci-Fi","Lana Wachowski, Lilly Wachowski","English, Russian","United States, Australia",5.3,192502,"tt1617661","$47,387,723"
"Jupiter Ascending","2015",2015-02-06,"PG-13","127 min","Action, Adventure, Sci-Fi","Lana Wachowski, Lilly Wachowski","English, Russian","United States, Australia",5.3,192502,"tt1617661","$47,387,723"
"Jupiter Ascending","2015",2015-02-06,"PG-13","127 min","Action, Adventure, Sci-Fi","Lana Wachowski, Lilly Wachowski","English, Russian","United States, Australia",5.3,192502,"tt1617661","$47,387,723"
"The SpongeBob Movie: Sponge Out of Water","2015",2015-02-06,"PG","92 min","Animation, Adventure, Comedy","Paul Tibbitt, Mike Mitchell","English","United States, South Korea, Australia",6,59536,"tt2279373","$162,994,032"
"The SpongeBob Movie: Sponge Out of Water","2015",2015-02-06,"PG","92 min","Animation, Adventure, Comedy","Paul Tibbitt, Mike Mitchell","English","United States, South Korea, Australia",6,59536,"tt2279373","$162,994,032"
"The SpongeBob Movie: Sponge Out of Water","2015",2015-02-06,"PG","92 min","Animation, Adventure, Comedy","Paul Tibbitt, Mike Mitchell","English","United States, South Korea, Australia",6,59536,"tt2279373","$162,994,032"
"The Duke of Burgundy","2014",2015-01-23,"Not Rated","104 min","Drama, Romance","Peter Strickland","English","United Kingdom, Hungary",6.5,14024,"tt2570858","$64,521"
"The Duke of Burgundy","2014",2015-01-23,"Not Rated","104 min","Drama, Romance","Peter Strickland","English","United Kingdom, Hungary",6.5,14024,"tt2570858","$64,521"
"The Duke of Burgundy","2014",2015-01-23,"Not Rated","104 min","Drama, Romance","Peter Strickland","English","United Kingdom, Hungary",6.5,14024,"tt2570858","$64,521"
"Fifty Shades of Grey","2015",2015-02-13,"R","125 min","Drama, Romance, Thriller","Sam Taylor-Johnson","English","United States",4.2,330037,"tt2322441","$166,167,230"
"Fifty Shades of Grey","2015",2015-02-13,"R","125 min","Drama, Romance, Thriller","Sam Taylor-Johnson","English","United States",4.2,330037,"tt2322441","$166,167,230"
"Fifty Shades of Grey","2015",2015-02-13,"R","125 min","Drama, Romance, Thriller","Sam Taylor-Johnson","English","United States",4.2,330037,"tt2322441","$166,167,230"
"The DUFF","2015",2015-02-20,"PG-13","101 min","Comedy, Romance","Ari Sandel","English, Spanish","United States",6.4,99694,"tt1666801","$34,030,343"
"The DUFF","2015",2015-02-20,"PG-13","101 min","Comedy, Romance","Ari Sandel","English, Spanish","United States",6.4,99694,"tt1666801","$34,030,343"
"The DUFF","2015",2015-02-20,"PG-13","101 min","Comedy, Romance","Ari Sandel","English, Spanish","United States",6.4,99694,"tt1666801","$34,030,343"
"Bad Hair Day","2015",2015-02-13,"TV-G","87 min","Adventure, Comedy, Family","Erik Canuel","English","Canada",5.8,3505,"tt3856042","N/A"
"Chappie","2015",2015-03-06,"R","120 min","Action, Crime, Drama","Neill Blomkamp","English","United States",6.8,264009,"tt1823672","$31,569,268"
"Chappie","2015",2015-03-06,"R","120 min","Action, Crime, Drama","Neill Blomkamp","English","United States",6.8,264009,"tt1823672","$31,569,268"
"Chappie","2015",2015-03-06,"R","120 min","Action, Crime, Drama","Neill Blomkamp","English","United States",6.8,264009,"tt1823672","$31,569,268"
"Cinderella","2015",2015-03-13,"PG","105 min","Adventure, Drama, Family","Kenneth Branagh","English","United Kingdom, United States",6.9,186574,"tt1661199","$201,151,353"
"Cinderella","2015",2015-03-13,"PG","105 min","Adventure, Drama, Family","Kenneth Branagh","English","United Kingdom, United States",6.9,186574,"tt1661199","$201,151,353"
"Cinderella","2015",2015-03-13,"PG","105 min","Adventure, Drama, Family","Kenneth Branagh","English","United Kingdom, United States",6.9,186574,"tt1661199","$201,151,353"
"The Three Es","2015",NA,"N/A","88 min","Drama","Jason Aaron Goldberg","English","United States",7.6,34,"tt4247740","N/A"
"The Divergent Series: Insurgent","2015",2015-03-20,"PG-13","119 min","Action, Adventure, Sci-Fi","Robert Schwentke","English","United States, Canada",6.2,248882,"tt2908446","$130,179,072"
"The Divergent Series: Insurgent","2015",2015-03-20,"PG-13","119 min","Action, Adventure, Sci-Fi","Robert Schwentke","English","United States, Canada",6.2,248882,"tt2908446","$130,179,072"
"The Divergent Series: Insurgent","2015",2015-03-20,"PG-13","119 min","Action, Adventure, Sci-Fi","Robert Schwentke","English","United States, Canada",6.2,248882,"tt2908446","$130,179,072"
"Punk Berlin 1982","2015",2015-03-26,"PG-13","104 min","Comedy, Crime, Drama","Oskar Roehler","German, English","Germany",5.6,704,"tt3397082","N/A"
"The Lazarus Effect","2015",2015-02-27,"PG-13","83 min","Horror, Mystery, Sci-Fi","David Gelb","English","United States",5.2,45358,"tt2918436","$25,801,570"
"The Lazarus Effect","2015",2015-02-27,"PG-13","83 min","Horror, Mystery, Sci-Fi","David Gelb","English","United States",5.2,45358,"tt2918436","$25,801,570"
"The Lazarus Effect","2015",2015-02-27,"PG-13","83 min","Horror, Mystery, Sci-Fi","David Gelb","English","United States",5.2,45358,"tt2918436","$25,801,570"
"Furious 7","2015",2015-04-03,"PG-13","137 min","Action, Crime, Thriller","James Wan","English, Thai, Arabic, Spanish","United States, China, Japan, Canada, United Arab Emirates",7.1,407236,"tt2820852","$353,007,020"
"Furious 7","2015",2015-04-03,"PG-13","137 min","Action, Crime, Thriller","James Wan","English, Thai, Arabic, Spanish","United States, China, Japan, Canada, United Arab Emirates",7.1,407236,"tt2820852","$353,007,020"
"Furious 7","2015",2015-04-03,"PG-13","137 min","Action, Crime, Thriller","James Wan","English, Thai, Arabic, Spanish","United States, China, Japan, Canada, United Arab Emirates",7.1,407236,"tt2820852","$353,007,020"
"The Passion of Augustine","2015",2015-08-06,"N/A","103 min","Drama","Léa Pool","French","Canada",7.2,671,"tt4392438","N/A"
"Liza the Fox-Fairy","2015",2015-02-19,"N/A","98 min","Comedy, Fantasy, Romance","Károly Ujj Mészáros","Hungarian, Japanese","Hungary",7.5,9460,"tt2210769","N/A"
"Liza the Fox-Fairy","2015",2015-02-19,"N/A","98 min","Comedy, Fantasy, Romance","Károly Ujj Mészáros","Hungarian, Japanese","Hungary",7.5,9460,"tt2210769","N/A"
"Ghosthunters: On Icy Trails","2015",2015-04-02,"PG","99 min","Animation, Adventure, Comedy","Tobi Baumann","German, English","Germany, Austria, Ireland",5.2,996,"tt3711622","N/A"
"Ghosthunters: On Icy Trails","2015",2015-04-02,"PG","99 min","Animation, Adventure, Comedy","Tobi Baumann","German, English","Germany, Austria, Ireland",5.2,996,"tt3711622","N/A"
"Avengers: Age of Ultron","2015",2015-05-01,"PG-13","141 min","Action, Adventure, Sci-Fi","Joss Whedon","English, Korean","United States",7.3,902827,"tt2395427","$459,005,868"
"Avengers: Age of Ultron","2015",2015-05-01,"PG-13","141 min","Action, Adventure, Sci-Fi","Joss Whedon","English, Korean","United States",7.3,902827,"tt2395427","$459,005,868"
"Avengers: Age of Ultron","2015",2015-05-01,"PG-13","141 min","Action, Adventure, Sci-Fi","Joss Whedon","English, Korean","United States",7.3,902827,"tt2395427","$459,005,868"
"Do You Believe?","2015",2015-03-20,"PG-13","120 min","Drama","Jon Gunn","English","United States",6,8106,"tt4056738","$12,985,600"
"Do You Believe?","2015",2015-03-20,"PG-13","120 min","Drama","Jon Gunn","English","United States",6,8106,"tt4056738","$12,985,600"
"Do You Believe?","2015",2015-03-20,"PG-13","120 min","Drama","Jon Gunn","English","United States",6,8106,"tt4056738","$12,985,600"
"True Story","2015",2015-04-17,"R","99 min","Biography, Crime, Drama","Rupert Goold","English, Ibo","United States",6.3,71497,"tt2273657","$4,719,695"
"True Story","2015",2015-04-17,"R","99 min","Biography, Crime, Drama","Rupert Goold","English, Ibo","United States",6.3,71497,"tt2273657","$4,719,695"
"True Story","2015",2015-04-17,"R","99 min","Biography, Crime, Drama","Rupert Goold","English, Ibo","United States",6.3,71497,"tt2273657","$4,719,695"
"Suffragette","2015",2015-10-12,"PG-13","106 min","Drama, History","Sarah Gavron","English","United Kingdom, France",6.9,43939,"tt3077214","$4,702,420"
"Suffragette","2015",2015-10-12,"PG-13","106 min","Drama, History","Sarah Gavron","English","United Kingdom, France",6.9,43939,"tt3077214","$4,702,420"
"Suffragette","2015",2015-10-12,"PG-13","106 min","Drama, History","Sarah Gavron","English","United Kingdom, France",6.9,43939,"tt3077214","$4,702,420"
"Septembers of Shiraz","2015",2016-06-24,"PG-13","110 min","Thriller","Wayne Blair","English","United States",6.2,5689,"tt3661298","N/A"
"Septembers of Shiraz","2015",2016-06-24,"PG-13","110 min","Thriller","Wayne Blair","English","United States",6.2,5689,"tt3661298","N/A"
"Septembers of Shiraz","2015",2016-06-24,"PG-13","110 min","Thriller","Wayne Blair","English","United States",6.2,5689,"tt3661298","N/A"
"Bound","2015",2016-02-05,"Unrated","91 min","Drama, Thriller","Jared Cohn","English","United States",3.4,2617,"tt4145324","N/A"
"Pitch Perfect 2","2015",2015-05-15,"PG-13","115 min","Comedy, Music","Elizabeth Banks","English, German","United States",6.4,166498,"tt2848292","$184,296,230"
"Pitch Perfect 2","2015",2015-05-15,"PG-13","115 min","Comedy, Music","Elizabeth Banks","English, German","United States",6.4,166498,"tt2848292","$184,296,230"
"Pitch Perfect 2","2015",2015-05-15,"PG-13","115 min","Comedy, Music","Elizabeth Banks","English, German","United States",6.4,166498,"tt2848292","$184,296,230"
"Far from the Madding Crowd","2015",2015-05-22,"PG-13","119 min","Drama, Romance","Thomas Vinterberg","English","United Kingdom, United States",7.1,52280,"tt2935476","$12,236,500"
"Far from the Madding Crowd","2015",2015-05-22,"PG-13","119 min","Drama, Romance","Thomas Vinterberg","English","United Kingdom, United States",7.1,52280,"tt2935476","$12,236,500"
"Far from the Madding Crowd","2015",2015-05-22,"PG-13","119 min","Drama, Romance","Thomas Vinterberg","English","United Kingdom, United States",7.1,52280,"tt2935476","$12,236,500"
"Mad Max: Fury Road","2015",2015-05-15,"R","120 min","Action, Adventure, Sci-Fi","George Miller","English, Russian","Australia",8.1,1050552,"tt1392190","$154,280,290"
"Mad Max: Fury Road","2015",2015-05-15,"R","120 min","Action, Adventure, Sci-Fi","George Miller","English, Russian","Australia",8.1,1050552,"tt1392190","$154,280,290"
"Mad Max: Fury Road","2015",2015-05-15,"R","120 min","Action, Adventure, Sci-Fi","George Miller","English, Russian","Australia",8.1,1050552,"tt1392190","$154,280,290"
"Almost Mercy","2015",2015-05-26,"Not Rated","85 min","Horror","Tom DeNucci","English","United States",5.9,1163,"tt3480446","N/A"
"Focus","2015",2015-02-27,"R","105 min","Comedy, Crime, Drama","Glenn Ficarra, John Requa","English, Spanish","United States, Argentina",6.6,266039,"tt2381941","$53,862,963"
"Focus","2015",2015-02-27,"R","105 min","Comedy, Crime, Drama","Glenn Ficarra, John Requa","English, Spanish","United States, Argentina",6.6,266039,"tt2381941","$53,862,963"
"Inside Out","2015",2015-06-19,"PG","95 min","Animation, Adventure, Comedy","Pete Docter, Ronnie Del Carmen","English, Portuguese, Latvian","United States, Japan",8.1,755885,"tt2096673","$356,921,711"
"Inside Out","2015",2015-06-19,"PG","95 min","Animation, Adventure, Comedy","Pete Docter, Ronnie Del Carmen","English, Portuguese, Latvian","United States, Japan",8.1,755885,"tt2096673","$356,921,711"
"Inside Out","2015",2015-06-19,"PG","95 min","Animation, Adventure, Comedy","Pete Docter, Ronnie Del Carmen","English, Portuguese, Latvian","United States, Japan",8.1,755885,"tt2096673","$356,921,711"
"The Art Dealer","2015",2015-03-18,"Not Rated","93 min","Drama, History, Thriller","François Margolin","French","France",5.9,155,"tt4000768","N/A"
"Dora or The Sexual Neuroses of Our Parents","2015",2015-05-21,"N/A","88 min","Drama, Romance","Stina Werenfels","German","Switzerland, Germany",6.3,554,"tt4265878","N/A"
"Hedi Schneider Is Stuck","2015",2015-05-07,"N/A","90 min","Comedy, Drama","Sonja Heiss","German, German Sign ","Germany, Norway",6.4,420,"tt3707396","N/A"
"Spy","2015",2015-06-05,"R","120 min","Action, Comedy","Paul Feig","English, French, Italian, German, Hungarian, Bulgarian, Ukrainian, Japanese","United States",7,253798,"tt3079380","$110,825,712"
"Spy","2015",2015-06-05,"R","120 min","Action, Comedy","Paul Feig","English, French, Italian, German, Hungarian, Bulgarian, Ukrainian, Japanese","United States",7,253798,"tt3079380","$110,825,712"
"Spy","2015",2015-06-05,"R","120 min","Action, Comedy","Paul Feig","English, French, Italian, German, Hungarian, Bulgarian, Ukrainian, Japanese","United States",7,253798,"tt3079380","$110,825,712"
"Tomorrowland","2015",2015-05-22,"PG","130 min","Action, Adventure, Family","Brad Bird","English, French, Japanese","United States, Spain, France, Canada, United Kingdom",6.4,188205,"tt1964418","$93,436,322"
"Tomorrowland","2015",2015-05-22,"PG","130 min","Action, Adventure, Family","Brad Bird","English, French, Japanese","United States, Spain, France, Canada, United Kingdom",6.4,188205,"tt1964418","$93,436,322"
"Tomorrowland","2015",2015-05-22,"PG","130 min","Action, Adventure, Family","Brad Bird","English, French, Japanese","United States, Spain, France, Canada, United Kingdom",6.4,188205,"tt1964418","$93,436,322"
